"classe","codigo","vm","gc","lc","roe","divbr_pl","ll","ll_cresc","p_vpa","pl","ret_anual"
"ON","CCRO3",26758190.5706667,TRUE,0.99083195116,18.584929315,188.05763684,TRUE,TRUE,4.4612400659,15.771895305,-6.48867217731286
"ON","TIMP3",26191874.568,TRUE,1.16530106453333,7.36678018215,22.9091688015,TRUE,FALSE,1.4543109761,23.341124225,6.96446696856781
"ON","RADL3",25124092.786,TRUE,1.61213289996667,15.8751966855,23.1496133815,TRUE,TRUE,7.97130882153333,50.5207660456667,34.8813785604461
"ON","DAGB33",24374011.5286667,FALSE,1.21041396556667,3.16248343515,113.569353225,FALSE,TRUE,2.240794759,-78.29921581,9.14287297291219
"ON","LAME3",23677412.6406667,TRUE,1.9426673811,2.4796085358,259.898895905,TRUE,FALSE,5.90376756043333,75.1758204596667,7.13424868993655
"ON","EGIE3",23402983.3906667,TRUE,1.33804210697667,29.3560230105,102.576731203,TRUE,TRUE,3.3898546433,12.5449835896667,6.62538955503629
"ON","KROT3",22814416.7356667,TRUE,2.53810279916667,11.8629028425,1.7289804661,TRUE,TRUE,1.53479845916667,12.2874550948667,8.65852738072865
"ON","CPFE3",22533239.4273333,TRUE,1.03316228292667,12.9146132895,176.599866045,TRUE,TRUE,2.56273298746667,19.4473475283333,4.00504587013779
"ON","RAIL3",20695936.046,TRUE,1.07534659416333,-2.06800157307,124.239342385,FALSE,TRUE,2.6849627377,-170.7176719845,NA
"ON","GGBR3",20447384.1966667,TRUE,2.25273280293333,-0.887882792505,69.821427148,FALSE,TRUE,0.70467715858,-77.6901345234,-0.905951764553226
"ON","LREN3",20294792.4466667,TRUE,1.54596225186667,23.7612126515,56.8412790015,TRUE,TRUE,6.49088226216667,27.3929447113333,23.3922792148918
"ON","KLBN3",20120026.555,FALSE,2.81722407266667,-0.607735955099999,295.07833821,FALSE,FALSE,4.3227352445,-2.760026423,NA
"ON","SBSP3",20108860.3463333,TRUE,1.02301138725,13.4364628765,70.7311429515,TRUE,FALSE,1.18636249625667,7.847606714,5.5842023137731
"ON","HYPE3",18859745.5823333,TRUE,2.92277420013333,13.4543479305,6.89730393525,TRUE,FALSE,2.31990131443333,17.4648545766667,13.6182116536068
"ON","CSAN3",15517270.0816667,TRUE,1.73270952223333,15.713655989,99.620857535,TRUE,TRUE,1.70603614763333,12.5926545496,3.52292936887937
"ON","MDIA3",15178913.3333333,TRUE,3.83073489983333,16.196234505,6.9815306478,TRUE,TRUE,3.14535492533333,18.7386869133333,8.786251029352
"ON","MGLU3",14303781.9528667,TRUE,1.2128682587,21.860136929,34.30408795,TRUE,TRUE,7.53064685783333,35.9286626936667,90.3097045200637
"ON","EMBR3",13554616.4266667,TRUE,2.34808965136667,3.0190217861795,101.10079717,FALSE,TRUE,0.99147878002,-109.283300575333,1.38547512715854
"ON","CSNA3",12844166.8536667,FALSE,1.54303464176667,20.800065274,363.072274385,FALSE,FALSE,1.92721503236667,365.070595909,4.27781388796111
"ON","PSSA3",12657998.5933333,TRUE,1.3405453929,15.687948317,0,TRUE,FALSE,1.71779180776667,11.3539076189667,23.0157168715652
"ON","RENT3",12158616.5533333,TRUE,1.39081809473333,19.82369266,235.43132637,TRUE,TRUE,4.68234678526667,23.935036928,20.3025780658108
"ON","MULT3",12002732.0433333,TRUE,1.9203940481,7.8146965954,54.4363411825,TRUE,FALSE,2.4495044672,32.7673771036667,4.49744375224501
"ON","EQTL3",11837924.3286667,TRUE,1.85797746156667,20.8263898815,126.747199705,TRUE,FALSE,2.58533424763333,13.2786093446667,27.6882987760416
"ON","NATU3",11819926.1066667,TRUE,1.29510926186667,28.799111298,474.97053878,TRUE,FALSE,7.89075077726667,28.2950613043333,-7.72898320437683
